2024-12-17, 19:15:55, up, arrow
2024-12-17, 19:17:45, left, arrow
2024-12-17, 19:17:46, left, arrow
2024-12-17, 19:17:46, left, arrow
2024-12-17, 19:17:46, left, arrow
2024-12-17, 19:17:46, left, arrow
2024-12-17, 19:17:46, left, arrow
2024-12-17, 19:17:47, left, arrow
2024-12-17, 19:17:47, left, arrow
2024-12-17, 19:17:47, left, arrow
2024-12-17, 19:17:47, left, arrow
2024-12-17, 19:23:35, left, vim
2024-12-17, 19:23:36, up, vim
2024-12-17, 19:23:36, right, vim
2024-12-17, 19:23:37, left, arrow
2024-12-17, 19:23:38, right, arrow
2024-12-17, 19:23:39, down, arrow
2024-12-17, 19:23:39, up, arrow
2024-12-17, 19:23:39, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:40, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:23:41, left, arrow
2024-12-17, 19:28:03, left, vim
2024-12-17, 19:28:04, down, vim
2024-12-17, 19:28:04, up, vim
2024-12-17, 19:28:04, right, vim
2024-12-17, 19:28:05, left, vim
2024-12-17, 19:28:06, left, arrow
2024-12-17, 19:28:07, left, arrow
2024-12-17, 19:28:09, left, arrow
2024-12-17, 19:28:10, left, vim
2024-12-17, 19:28:10, left, arrow
2024-12-17, 19:28:11, left, vim
2024-12-17, 19:28:11, left, arrow
2024-12-17, 19:28:11, left, vim
2024-12-17, 19:36:09, up, arrow
2024-12-17, 19:44:04, left, arrow
2024-12-17, 19:44:13, down, arrow
2024-12-17, 19:44:14, down, arrow
2024-12-17, 19:44:14, left, arrow
2024-12-17, 19:44:14, right, arrow
2024-12-17, 19:44:42, up, arrow
2024-12-17, 19:44:42, right, arrow
2024-12-17, 19:44:43, up, arrow
2024-12-17, 19:44:43, down, arrow
2024-12-17, 19:44:43, down, arrow
2024-12-17, 19:44:49, right, arrow
2024-12-17, 19:45:58, down, arrow
2024-12-17, 19:45:58, down, arrow
2024-12-17, 19:45:59, up, arrow
2024-12-17, 19:46:01, up, arrow
2024-12-17, 19:46:02, left, arrow
2024-12-17, 19:46:02, left, arrow
2024-12-17, 19:46:02, left, arrow
2024-12-17, 19:46:02, left, arrow
2024-12-17, 19:46:02, left, arrow
2024-12-17, 19:46:03, left, arrow
2024-12-17, 19:46:03, left, arrow
2024-12-17, 19:46:03, left, arrow
2024-12-17, 19:46:16, left, arrow
2024-12-17, 19:48:01, down, arrow
2024-12-17, 19:48:01, down, arrow
2024-12-17, 19:48:02, up, arrow
2024-12-17, 19:49:45, down, arrow
2024-12-17, 19:50:01, up, arrow
2024-12-17, 19:55:19, down, arrow
2024-12-17, 19:55:34, down, arrow
2024-12-17, 19:55:45, up, arrow
2024-12-17, 19:55:45, up, arrow
2024-12-17, 19:55:45, left, arrow
2024-12-17, 19:55:47, down, arrow
2024-12-17, 19:55:48, down, arrow
2024-12-17, 19:56:37, left, arrow
2024-12-17, 19:57:42, left, arrow
2024-12-17, 19:57:56, left, arrow
2024-12-17, 19:57:57, left, arrow
2024-12-17, 19:57:57, left, arrow
2024-12-17, 19:57:58, left, arrow
2024-12-17, 19:58:02, left, arrow
2024-12-17, 19:58:03, right, arrow
2024-12-17, 19:58:04, left, arrow
2024-12-17, 19:58:05, right, arrow
2024-12-17, 19:58:39, left, arrow
2024-12-17, 19:58:39, left, arrow
2024-12-17, 19:58:40, left, arrow
2024-12-17, 20:09:28, left, arrow
2024-12-17, 22:00:57, left, vim
2024-12-17, 22:01:01, left, vim
2024-12-17, 22:01:02, up, vim
2024-12-17, 22:01:02, right, vim
2024-12-17, 22:01:02, left, vim
2024-12-17, 22:01:03, right, vim
2024-12-17, 22:01:03, up, vim
2024-12-17, 22:01:04, down, arrow
2024-12-17, 22:01:04, down, arrow
2024-12-17, 22:01:04, down, arrow
2024-12-17, 22:01:04, up, arrow
2024-12-17, 22:01:05, left, arrow
2024-12-17, 22:01:05, right, arrow
2024-12-17, 22:01:05, left, arrow
2024-12-17, 22:01:06, left, arrow
2024-12-17, 22:01:06, left, vim
2024-12-17, 22:01:07, left, arrow
2024-12-17, 22:01:08, left, vim
2024-12-17, 22:01:08, left, arrow
2024-12-17, 22:01:08, left, vim
2024-12-17, 22:01:09, left, arrow
2024-12-17, 22:01:10, up, arrow
2024-12-17, 22:01:11, down, arrow
2024-12-17, 22:01:11, left, arrow
2024-12-17, 22:01:14, left, vim
2024-12-17, 22:01:14, left, vim
2024-12-17, 22:01:15, up, vim
2024-12-17, 22:01:15, right, vim
2024-12-17, 22:01:15, left, vim
2024-12-17, 22:01:16, up, vim
2024-12-17, 22:01:16, right, vim
2024-12-17, 22:01:16, left, vim
2024-12-17, 22:01:16, right, vim
2024-12-17, 22:01:17, right, vim
2024-12-17, 22:01:17, up, vim
2024-12-17, 22:04:07, down, arrow
2024-12-17, 22:04:08, down, arrow
2024-12-17, 22:04:09, down, arrow
2024-12-17, 22:04:10, up, arrow
2024-12-17, 22:04:11, down, arrow
2024-12-17, 22:04:12, up, arrow
2024-12-17, 22:04:12, down, arrow
2024-12-17, 22:04:13, up, arrow
2024-12-17, 22:04:14, down, arrow
2024-12-17, 22:04:15, left, vim
2024-12-17, 22:04:16, left, vim
2024-12-17, 22:04:18, left, vim
2024-12-17, 22:04:19, left, vim
2024-12-17, 22:04:20, left, vim
2024-12-17, 22:04:36, up, arrow
2024-12-17, 22:04:36, right, arrow
2024-12-17, 22:04:36, right, arrow
2024-12-17, 22:04:36, right, arrow
2024-12-17, 22:04:36, right, arrow
2024-12-17, 22:04:36, right, arrow
2024-12-17, 22:04:36, right, arrow
2024-12-17, 22:04:36, right, arrow
2024-12-17, 22:04:36, right, arrow
2024-12-17, 22:04:36, right, arrow
2024-12-17, 22:04:36, right, arrow
2024-12-17, 22:04:36, right, arrow
2024-12-17, 22:04:36, right, arrow
2024-12-17, 22:04:36, right, arrow
2024-12-17, 22:04:36, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:37, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:38, right, arrow
2024-12-17, 22:04:39, right, arrow
2024-12-17, 22:04:39, left, arrow
2024-12-17, 22:04:44, down, arrow
2024-12-17, 22:05:16, left, vim
2024-12-17, 22:12:29, left, vim
2024-12-17, 22:12:30, down, vim
2024-12-17, 22:12:30, up, vim
2024-12-17, 22:12:31, left, arrow
2024-12-17, 22:12:32, right, arrow
2024-12-17, 22:12:32, up, arrow
2024-12-17, 22:12:32, down, arrow
2024-12-17, 22:12:33, left, arrow
2024-12-17, 22:12:33, up, arrow
2024-12-17, 22:12:34, right, arrow
2024-12-17, 22:12:34, down, arrow
2024-12-17, 22:12:34, left, arrow
2024-12-17, 22:12:47, left, arrow
2024-12-17, 22:12:48, right, arrow
2024-12-17, 22:12:49, left, arrow
2024-12-17, 22:12:50, right, arrow
2024-12-17, 22:12:51, left, arrow
2024-12-17, 22:12:51, up, arrow
2024-12-17, 22:12:52, down, arrow
2024-12-17, 22:12:52, up, arrow
2024-12-17, 22:12:53, right, arrow
2024-12-17, 22:12:54, right, arrow
2024-12-17, 22:12:54, left, arrow
2024-12-17, 22:12:55, right, arrow
2024-12-17, 22:12:56, left, arrow
2024-12-17, 22:12:56, right, arrow
2024-12-17, 22:12:57, left, arrow
2024-12-17, 22:12:58, right, arrow
2024-12-17, 22:12:58, left, arrow
2024-12-17, 22:13:01, up, arrow
2024-12-17, 22:13:01, left, arrow
2024-12-17, 22:13:02, right, arrow
2024-12-17, 22:13:03, left, arrow
2024-12-17, 22:13:03, right, arrow
2024-12-17, 22:13:04, left, arrow
2024-12-17, 22:13:05, right, arrow
2024-12-17, 22:13:06, left, arrow
2024-12-17, 22:13:07, right, arrow
2024-12-17, 22:13:07, left, arrow
2024-12-17, 22:13:08, right, arrow
2024-12-17, 22:13:12, left, vim
2024-12-17, 22:13:14, left, vim
2024-12-17, 22:13:14, up, vim
2024-12-17, 22:13:15, left, vim
2024-12-17, 22:13:16, right, vim
2024-12-17, 22:13:16, up, vim
2024-12-17, 22:13:16, left, vim
2024-12-17, 22:13:17, right, vim
2024-12-17, 22:13:18, up, arrow
2024-12-17, 22:13:19, left, arrow
2024-12-17, 22:13:19, right, arrow
2024-12-17, 22:13:20, left, arrow
2024-12-17, 22:13:21, right, arrow
2024-12-17, 22:13:22, left, arrow
2024-12-17, 22:13:23, right, arrow
2024-12-17, 22:13:24, left, arrow
2024-12-17, 22:13:24, right, arrow
2024-12-17, 22:13:25, left, arrow
2024-12-17, 22:13:26, right, arrow
2024-12-17, 22:13:27, left, arrow
2024-12-17, 22:13:28, right, arrow
2024-12-17, 22:13:29, left, arrow
2024-12-17, 22:13:30, right, arrow
2024-12-17, 22:13:31, left, arrow
2024-12-17, 22:13:32, right, arrow
2024-12-17, 22:13:33, left, arrow
2024-12-17, 22:13:34, right, arrow
2024-12-17, 22:13:34, left, arrow
2024-12-17, 22:13:35, right, arrow
2024-12-17, 22:13:36, left, arrow
2024-12-17, 22:13:36, right, arrow
2024-12-17, 22:13:37, left, arrow
2024-12-17, 22:13:37, right, arrow
2024-12-17, 22:13:38, left, arrow
2024-12-17, 22:13:39, right, arrow
2024-12-17, 22:13:40, left, arrow
2024-12-17, 22:13:41, right, arrow
2024-12-17, 22:13:42, left, arrow
2024-12-17, 22:13:42, right, arrow
2024-12-17, 22:13:43, left, arrow
2024-12-17, 22:13:44, right, arrow
2024-12-17, 22:13:46, left, arrow
2024-12-17, 22:13:46, right, arrow
2024-12-17, 22:13:47, left, arrow
